seed,observer,num_distractors,accuracy,reward,relative_processing_cost,relative_efficiency
2334,O2,35,0.53375,0.0675,38.0,0.014046052631578945
2334,O3,35,0.60375,0.2075,4.12,0.14654126213592233
2334,O4,35,0.55875,0.1175,4.12,0.13561893203883493
2334,O5R,35,0.645,0.29,4.12,0.15655339805825244
2371,O1,0,0.71625,0.4325,1.0,0.71625
2371,O2,0,0.4925,-0.015,3.0,0.16416666666666666
2371,O3,0,0.5875,0.175,1.3199999999999998,0.4450757575757576
2371,O4,0,0.7675,0.535,1.3199999999999998,0.581439393939394
2371,O5R,0,0.4925,-0.015,1.3199999999999998,0.37310606060606066
2371,O1,2,0.71625,0.4325,1.0,0.71625
2371,O2,2,0.4925,-0.015,5.0,0.0985
2371,O3,2,0.5875,0.175,1.4799999999999998,0.39695945945945954
2371,O4,2,0.7675,0.535,1.4799999999999998,0.5185810810810811
2371,O5R,2,0.4925,-0.015,1.4799999999999998,0.33277027027027034
2371,O1,5,0.71625,0.4325,1.0,0.71625
2371,O2,5,0.4925,-0.015,8.0,0.0615625
2371,O3,5,0.5875,0.175,1.7199999999999998,0.3415697674418605
2371,O4,5,0.7675,0.535,1.7199999999999998,0.44622093023255816
2371,O5R,5,0.4925,-0.015,1.7199999999999998,0.28633720930232565
2371,O1,10,0.71625,0.4325,1.0,0.71625
2371,O2,10,0.4925,-0.015,13.0,0.037884615384615385
2371,O3,10,0.5875,0.175,2.12,0.27712264150943394
2371,O4,10,0.7675,0.535,2.12,0.3620283018867924
2371,O5R,10,0.4925,-0.015,2.12,0.23231132075471697
2371,O1,20,0.71625,0.4325,1.0,0.71625
2371,O2,20,0.49375,-0.0125,23.0,0.021467391304347827
2371,O3,20,0.5875,0.175,2.92,0.2011986301369863
2371,O4,20,0.7675,0.535,2.92,0.2628424657534246
2371,O5R,20,0.4925,-0.015,2.92,0.16866438356164384
2371,O1,35,0.71625,0.4325,1.0,0.71625
2371,O2,35,0.50625,0.0125,38.0,0.013322368421052631
2371,O3,35,0.58875,0.1775,4.12,0.1429004854368932
2371,O4,35,0.7675,0.535,4.12,0.18628640776699026
2371,O5R,35,0.4925,-0.015,4.12,0.1195388349514563
2408,O1,0,0.69375,0.3875,1.0,0.69375
2408,O2,0,0.515,0.03,3.0,0.17166666666666666
2408,O3,0,0.59875,0.1975,1.3199999999999998,0.4535984848484849
2408,O4,0,0.515,0.03,1.3199999999999998,0.3901515151515152
2408,O5R,0,0.515,0.03,1.3199999999999998,0.3901515151515152
2408,O1,2,0.69875,0.3975,1.0,0.69875
2408,O2,2,0.515,0.03,5.0,0.10300000000000001
2408,O3,2,0.59875,0.1975,1.4799999999999998,0.40456081081081086
2408,O4,2,0.515,0.03,1.4799999999999998,0.347972972972973
2408,O5R,2,0.515,0.03,1.4799999999999998,0.347972972972973
2408,O1,5,0.69875,0.3975,1.0,0.69875
2408,O2,5,0.515,0.03,8.0,0.064375
2408,O3,5,0.59875,0.1975,1.7199999999999998,0.34811046511627913
2408,O4,5,0.515,0.03,1.7199999999999998,0.2994186046511628
2408,O5R,5,0.515,0.03,1.7199999999999998,0.2994186046511628
2408,O1,10,0.7,0.4,1.0,0.7
2408,O2,10,0.515,0.03,13.0,0.039615384615384615
2408,O3,10,0.59875,0.1975,2.12,0.2824292452830189
2408,O4,10,0.515,0.03,2.12,0.2429245283018868
2408,O5R,10,0.515,0.03,2.12,0.2429245283018868
2408,O1,20,0.7,0.4,1.0,0.7
2408,O2,20,0.515,0.03,23.0,0.022391304347826088
2408,O3,20,0.59875,0.1975,2.92,0.2050513698630137
2408,O4,20,0.515,0.03,2.92,0.17636986301369864
2408,O5R,20,0.515,0.03,2.92,0.17636986301369864
2408,O1,35,0.7,0.4,1.0,0.7
2408,O2,35,0.5175,0.035,38.0,0.013618421052631578
2408,O3,35,0.6,0.2,4.12,0.14563106796116504
2408,O4,35,0.515,0.03,4.12,0.125
2408,O5R,35,0.515,0.03,4.12,0.125
2445,O1,0,0.6375,0.275,1.0,0.6375
2445,O2,0,0.52875,0.0575,3.0,0.17625000000000002
2445,O3,0,0.68375,0.3675,1.3199999999999998,0.5179924242424243
2445,O4,0,0.55875,0.1175,1.3199999999999998,0.4232954545454546
2445,O5R,0,0.6925,0.385,1.3199999999999998,0.5246212121212122
2445,O1,2,0.6375,0.275,1.0,0.6375
2445,O2,2,0.52875,0.0575,5.0,0.10575000000000001
2445,O3,2,0.68375,0.3675,1.4799999999999998,0.4619932432432433
2445,O4,2,0.55875,0.1175,1.4799999999999998,0.3775337837837838
2445,O5R,2,0.6925,0.385,1.4799999999999998,0.4679054054054055
2445,O1,5,0.6375,0.275,1.0,0.6375
2445,O2,5,0.52875,0.0575,8.0,0.06609375
2445,O3,5,0.68375,0.3675,1.7199999999999998,0.3975290697674419
2445,O4,5,0.55875,0.1175,1.7199999999999998,0.3248546511627907
2445,O5R,5,0.6925,0.385,1.7199999999999998,0.4026162790697675
2445,O1,10,0.6375,0.275,1.0,0.6375
2445,O2,10,0.52875,0.0575,13.0,0.04067307692307693
2445,O3,10,0.68375,0.3675,2.12,0.32252358490566035
2445,O4,10,0.55875,0.1175,2.12,0.26356132075471694
2445,O5R,10,0.6925,0.385,2.12,0.3266509433962264
2445,O1,20,0.6375,0.275,1.0,0.6375
2445,O2,20,0.53,0.06,23.0,0.023043478260869565
2445,O3,20,0.68625,0.3725,2.92,0.23501712328767124
2445,O4,20,0.55875,0.1175,2.92,0.1913527397260274
2445,O5R,20,0.6925,0.385,2.92,0.23715753424657535
2445,O1,35,0.6375,0.275,1.0,0.6375
2445,O2,35,0.53625,0.0725,38.0,0.014111842105263159
2445,O3,35,0.69125,0.3825,4.12,0.16777912621359223
2445,O4,35,0.55875,0.1175,4.12,0.13561893203883493
2445,O5R,35,0.6925,0.385,4.12,0.16808252427184467
2482,O1,0,0.71625,0.4325,1.0,0.71625
2482,O2,0,0.5325,0.065,3.0,0.1775
2482,O3,0,0.75875,0.5175,1.3199999999999998,0.5748106060606062
2482,O4,0,0.75,0.5,1.3199999999999998,0.5681818181818182
2482,O5R,0,0.5175,0.035,1.3199999999999998,0.3920454545454546
2482,O1,2,0.71625,0.4325,1.0,0.71625
2482,O2,2,0.535,0.07,5.0,0.10700000000000001
2482,O3,2,0.75875,0.5175,1.4799999999999998,0.5126689189189191
2482,O4,2,0.75,0.5,1.4799999999999998,0.5067567567567568
2482,O5R,2,0.5175,0.035,1.4799999999999998,0.34966216216216217
2482,O1,5,0.71625,0.4325,1.0,0.71625
2482,O2,5,0.53875,0.0775,8.0,0.06734375
2482,O3,5,0.75875,0.5175,1.7199999999999998,0.4411337209302326
2482,O4,5,0.75,0.5,1.7199999999999998,0.43604651162790703
2482,O5R,5,0.5175,0.035,1.7199999999999998,0.30087209302325585
2482,O1,10,0.71625,0.4325,1.0,0.71625
2482,O2,10,0.54125,0.0825,13.0,0.04163461538461539
2482,O3,10,0.75875,0.5175,2.12,0.3579009433962264
2482,O4,10,0.75,0.5,2.12,0.35377358490566035
2482,O5R,10,0.5175,0.035,2.12,0.24410377358490562
2482,O1,20,0.71625,0.4325,1.0,0.71625
2482,O2,20,0.55125,0.1025,23.0,0.023967391304347826
2482,O3,20,0.75875,0.5175,2.92,0.2598458904109589
2482,O4,20,0.75,0.5,2.92,0.2568493150684932
2482,O5R,20,0.5175,0.035,2.92,0.17722602739726026
2482,O1,35,0.71625,0.4325,1.0,0.71625
2482,O2,35,0.56375,0.1275,38.0,0.014835526315789473
2482,O3,35,0.75875,0.5175,4.12,0.18416262135922332
2482,O4,35,0.75,0.5,4.12,0.1820388349514563
2482,O5R,35,0.5175,0.035,4.12,0.12560679611650485
2519,O1,0,0.51375,0.0275,1.0,0.51375
2519,O2,0,0.51375,0.0275,3.0,0.17125
2519,O3,0,0.5475,0.095,1.3199999999999998,0.4147727272727273
2519,O4,0,0.5225,0.045,1.3199999999999998,0.39583333333333337
2519,O5R,0,0.51375,0.0275,1.3199999999999998,0.3892045454545455
2519,O1,2,0.51375,0.0275,1.0,0.51375
2519,O2,2,0.51375,0.0275,5.0,0.10275000000000001
2519,O3,2,0.5475,0.095,1.4799999999999998,0.36993243243243246
2519,O4,2,0.5225,0.045,1.4799999999999998,0.35304054054054057
2519,O5R,2,0.51375,0.0275,1.4799999999999998,0.34712837837837845
2519,O1,5,0.51375,0.0275,1.0,0.51375
2519,O2,5,0.51375,0.0275,8.0,0.06421875
2519,O3,5,0.5475,0.095,1.7199999999999998,0.31831395348837216
2519,O4,5,0.5225,0.045,1.7199999999999998,0.3037790697674419
2519,O5R,5,0.51375,0.0275,1.7199999999999998,0.29869186046511637
2519,O1,10,0.51375,0.0275,1.0,0.51375
2519,O2,10,0.51375,0.0275,13.0,0.03951923076923077
2519,O3,10,0.5475,0.095,2.12,0.25825471698113206
2519,O4,10,0.5225,0.045,2.12,0.24646226415094336
2519,O5R,10,0.51375,0.0275,2.12,0.24233490566037735
2519,O1,20,0.51375,0.0275,1.0,0.51375
2519,O2,20,0.51375,0.0275,23.0,0.022336956521739133
2519,O3,20,0.5475,0.095,2.92,0.1875
2519,O4,20,0.5225,0.045,2.92,0.17893835616438356
2519,O5R,20,0.51375,0.0275,2.92,0.17594178082191783
2519,O1,35,0.51375,0.0275,1.0,0.51375
2519,O2,35,0.51625,0.0325,38.0,0.013585526315789473
