seed,observer,phase,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm
12690,O4D,B,0.7798613905906677,1.8690509796142578,3.0,0.1337890625,0.056640625,0.0771484375,1.2363274097442627,1.0000004768371582,1.0,1.0,0.5,0.5,1.4617418556704764
12690,O4D,C,2.663386821746826,2.0838944911956787,3.0,0.8271484375,0.419921875,0.4072265625,1.3632926940917969,1.0000004768371582,1.0,1.0,0.5,0.5,2.992022114226218
12743,O1,A,2.493748903274536,1.4194202423095703,2.0,0.947265625,0.4794921875,0.4677734375,0.9784185886383057,1.0001945495605469,1.0,0.96875,0.484375,0.484375,2.6788218543187834
12743,O1,B,7.99031925201416,1.167615532875061,1.0,0.642578125,0.3212890625,0.3212890625,0.43310365080833435,1.0017539262771606,1.0,0.90625,0.453125,0.453125,8.00204852031351
12743,O1,C,8.014676094055176,1.1684986352920532,1.0,0.7177734375,0.365234375,0.3525390625,0.41385117173194885,1.0019891262054443,1.0,0.96875,0.484375,0.484375,8.02535392895313
12743,O3,A,1.232317566871643,1.5164731740951538,2.0,0.900390625,0.4453125,0.455078125,0.36244750022888184,1.0000011920928955,1.0,0.78125,0.390625,0.390625,1.2845134394168913
12743,O3,B,1.554092526435852,2.2701034545898438,3.0,0.6103515625,0.2998046875,0.310546875,1.2249770164489746,1.0000007152557373,1.0,1.0,0.5,0.5,1.9788310366355186
12743,O3,C,1.681247591972351,2.5622923374176025,3.0,0.669921875,0.337890625,0.33203125,1.7732276916503906,1.0000005960464478,1.0,0.96875,0.484375,0.484375,2.4435486309768017
12743,O4R,A,1.2381293773651123,1.5147379636764526,2.0,0.900390625,0.4453125,0.455078125,0.36001256108283997,1.0000015497207642,1.0,0.78125,0.390625,0.390625,1.2894081585099213
12743,O4R,B,1.4036537408828735,2.3064911365509033,3.0,0.603515625,0.2958984375,0.3076171875,1.3154284954071045,1.0000004768371582,1.0,1.0,0.5,0.5,1.9236933099700388
12743,O4R,C,1.8579071760177612,2.49538516998291,3.0,0.830078125,0.416015625,0.4140625,1.798013687133789,1.0000003576278687,1.0,1.0,0.5,0.5,2.5854733210417655
12743,O4M,A,1.1990206241607666,1.5317364931106567,2.0,0.93359375,0.4638671875,0.4697265625,0.5607800483703613,1.0000008344650269,1.0,1.0,0.5,0.5,1.3236784805280848
12743,O4M,B,0.7662097215652466,2.534581184387207,3.0,0.578125,0.2900390625,0.2880859375,1.3352512121200562,1.0000007152557373,1.0,1.0,0.5,0.5,1.5394717070765451
12743,O4M,C,1.6926496028900146,2.242119073867798,3.0,0.7900390625,0.396484375,0.3935546875,0.6987326145172119,1.000001311302185,1.0,0.9375,0.46875,0.46875,1.8311990456402556
12743,O4D,A,1.1990206241607666,1.5317364931106567,2.0,0.93359375,0.4638671875,0.4697265625,0.5607800483703613,1.0000008344650269,1.0,1.0,0.5,0.5,1.3236784805280848
12743,O4D,B,0.7662097215652466,2.534581184387207,3.0,0.578125,0.2900390625,0.2880859375,1.3352512121200562,1.0000007152557373,1.0,1.0,0.5,0.5,1.5394717070765451
12743,O4D,C,3.5317728519439697,1.734968900680542,2.0,0.83203125,0.41796875,0.4140625,1.1392790079116821,1.0000007152557373,1.0,0.96875,0.484375,0.484375,3.710980481705161
12796,O1,A,2.468066453933716,1.5915011167526245,2.0,0.927734375,0.4580078125,0.4697265625,0.9815205335617065,1.0003373622894287,1.0,0.9375,0.46875,0.46875,2.65607503260661
12796,O1,B,7.562097549438477,1.243489146232605,1.0,0.81640625,0.40625,0.41015625,0.24301603436470032,1.0040686130523682,1.0,0.90625,0.453125,0.453125,7.566001330966164
12796,O1,C,7.694993019104004,1.2400044202804565,1.0,0.7578125,0.3759765625,0.3818359375,0.40888240933418274,1.0026153326034546,1.0,0.96875,0.484375,0.484375,7.705848583298421
12796,O3,A,1.398926854133606,1.372498869895935,2.0,0.9794921875,0.4951171875,0.484375,0.320773720741272,1.0000016689300537,1.0,0.875,0.4375,0.4375,1.4352324282618292
